Pos:,Name:,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Total
,IOC Results: men,Glendalough,Slieve Croob,Glengarriff,Slish Wood & Killery,Ravensdale Wood,Binevenagh,Rossadrehid,Corr na Mona,Carlingford,The Burren,The Black Lakes,Woodford,Glendalough,Slieve Gullion,Crohane,Bawnreagh,Mullaghmeen,Scarr,Slievenagore,Inch,Inishbofin,Slieve Foye – Carlingford,Conagher & Callow Hill,Bere Island,Tawnawully,Magilligan Strand,Brockagh Mountain,Inch,Lough an Cogair,Lough Firrib,Slieve Croob,The Scurraghs & Mahon Falls,Sruth an Lolra,Tawnawully,The Burren,Covid,Covid,Crohane Lake,Devils Glen,Slieve Bawn,
1,Marcus Pinker,,,,,,,,,,8,10,,4,3,8,,,,,,,10,10,10,10,3,10,10,10,10,6,8,10,6,8,,,4,,,158
2,Bill Edwards,,,,6,2,10,5,10,8,10,5,,5,10,3,,8,,10,8,,,,,,6,,,,,,,,,,,,,,,106
3,Shane Lynch,,,,,,,,,,,,,,,,,,,,6,,2,8,4,2,2,6,,3,1,1,3,4,3,10,,,5,3,4,67
4,James Logue,,,,,,1,3,6,,4,8,,,4,10,,6,8,8,5,,,,,,,,,,,,,,,,,,,,,63
5,Colm O'Halloran,1,6,3,,,,4,5,6,1,1,8,8,2,,,,,,,5,5,4,,,,,,,,,,,,,,,,,,59
6,John Feehan,,,,,,,,8,5,,,,,8,5,6,10,10,,,,,,,,,,6,,,,,,,,,,,,,58
7,Colm Rothery,,,,,,,,,,,2,10,10,6,6,10,,,,,6,,1,5,,,,,,,,,,,,,,,,,56
8,Colm Moran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,4,6,,4,4,,,10,6,10,56
9,A. O'Cleirigh,,4,10,10,6,8,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
10,Brian Corbett,10,8,2,,1,4,10,,,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
11,Ruairi Short,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,5,5,3,4,6,5,,,,1,10,1,48
12,Andrew Quin,,,,,,,,,,,,,,,,,,6,,10,10,,,8,3,8,,,,,,,,,,,,,,,45
13,Neil Dobbs,,,,,,,,,,,,,,,,,,,,4,,8,,3,6,5,,,8,6,,,,,1,,,,,,41
14,Conor Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,10,8,,,,,6,4,,39
15,Peter Kernan,2,10,6,,10,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
16,Nic Simonin,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,10,,,10,,,,,,,30
17,Eoin Rothery,10,5,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
18,V. Joyce,,,,8,5,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
19,Paul Pruzina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,5,8,24
23,Steven Linton,,,,1,3,,,,4,2,,,6,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,22
20,P. Higgins,,,4,,4,,,,,3,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
21,Justin May,,2,,,8,,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
22,Darren Burke,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,3,2,,3,,,,,,,,18
24,Colm Hill,,,,,,,,,,,,,,,,,,,,,,,,,8,,4,,1,,,,,2,2,,,,,,17
25,Seamus O'Boyle,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,,,,,2,,,,,,,,,15
26,Gerard Butler,,,,,,,,,,,,,,,,,,,,,,1,,,,,8,5,,,,,,,,,,,,,14
27,Eoin McCullough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,,,13
28,Peter James,5,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
29,W. Young,,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
30,Eoghan Whelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,10
31,Niall Bourke,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,9
32,Laurence Quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,9
33,Ruairi Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8
34,Jussi Makila,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8
35,Josh O'Sullivan-Hourihan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,,,,,,8
36,David Healy,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,8
37,Brendan O'Brien,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,8
38,Kyle Heron,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,4,,,,,,,,,,,7
39,Kevin O' Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,,7
41,Pat Healy,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
40,W. McAuliffe,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
42,Ondrej Pijak,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,6
43,Mark Stephens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,6
44,Cillin Corbett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6
45,Daniel Morrogh,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,5
46,Brian Ervine,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5
47,Allan Bogle,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5
49,Robin Bryson,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
48,Stewart Caithness,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4
50,John Casey,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,4
51,Billy Reed,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
56,Denis Reidy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
52,Liam Cotter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
53,Ivan Millar,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3
54,Iain Rochford,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
55,G. Pattern,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
57,Danny O'Hare,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3
58,Rory Morrish,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
59,Peter O'Hara,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
